isin,name,quantity,amount
RU000A100A82,ОФЗ 26228,2,1678.84
RU000A1028E3,ОФЗ 26235,7,5215.98
RU000A102BT8,ОФЗ 26236,7,6177.5
RU000A1038Z7,ОФЗ 26237,2,1737.5
RU000A1038V6,ОФЗ 26238,10,6095.9
RU000A103BR0,ОФЗ 26240,2,1276.18
RU000A108EH4,ОФЗ 26248,1,941.11
RU000A0JV4N8,ОФЗ 29009,5,5333.75
RU000A0JV4Q1,ОФЗ 29010,5,5743.02
RU000A1025A7,ОФЗ 29015,21,21262.5
RU000A1025B5,ОФЗ 29016,1,1028.47
RU000A1066D5,ОФЗ 29024,1,972.2
